sales_volume_location,sales_volume_location_2016,sales_volume_location_2015,zestimate,primary_type,zestimate_NEXT_TO,primary_type_NEXT_TO
7959.0,12148.0,16198.0,369466.92852741835,2309.0,501768.96697892627,1732.8333333333333
9640.0,13420.0,13420.0,345766.0279329609,2089.0,456699.3476194784,4845.75
3853.0,6089.0,3000.0,174195.31474103587,9029.0,264464.3232107371,6675.2
4287.0,6045.0,6045.0,194151.69814366425,10237.0,346094.5277481123,6511.166666666667
9063.0,12638.0,12638.0,550774.8439306358,519.0,817196.5921541319,4615.0
27185.0,37111.0,12000.0,604957.6953642385,5595.0,958291.0682707691,3165.375
28307.0,39929.0,39929.0,846027.8678540649,1277.0,647857.492969017,2712.25
3267.0,4607.0,4607.0,147270.02348993288,3986.0,190896.82900681198,3376.1666666666665
1789.0,1858.0,1858.0,802738.0172786177,9284.0,529645.3188537043,1800.6666666666667
5111.0,5310.0,5310.0,508539.77559607296,4121.0,495191.6504191511,2947.4444444444443
767.0,796.0,796.0,323440.661268556,2160.0,332105.5853244769,2985.222222222222
5111.0,5310.0,12428.0,118075.21929824562,710.0,233576.08059180892,4113.333333333333
12778.0,13276.0,13276.0,323440.661268556,2160.0,332105.5853244769,2985.222222222222
1789.0,1858.0,1858.0,1676838.826446281,560.0,822538.8285309215,2684.3333333333335
767.0,796.0,796.0,788802.5792207792,500.0,652920.5903312737,4054.0
119239.0,166289.0,35500.0,255649.45671641792,9022.0,411416.4491430084,4833.0
1023.0,1062.0,1062.0,488644.58850841556,3493.0,727135.3193835611,1826.1666666666667
512.0,531.0,531.0,817196.5921541319,4615.0,807652.5920309358,1677.142857142857
1278.0,1327.0,1327.0,488644.58850841556,3493.0,727135.3193835611,1826.1666666666667
7156.0,7434.0,7434.0,1196657.6952380952,3360.0,980144.7036494268,2320.125
512.0,531.0,531.0,1196657.6952380952,3360.0,980144.7036494268,2320.125
2556.0,2655.0,2655.0,340545.66071428574,425.0,419959.71640089375,1987.4
256.0,265.0,265.0,340545.66071428574,425.0,419959.71640089375,1987.4
767.0,796.0,796.0,340545.66071428574,425.0,419959.71640089375,1987.4
767.0,796.0,796.0,70045.93081761006,1718.0,113078.94570377811,1448.7142857142858
4856.0,5044.0,5044.0,110830.66248693835,4232.0,132266.96834611098,2712.8
512.0,531.0,531.0,110830.66248693835,4232.0,132266.96834611098,2712.8
512.0,531.0,531.0,408564.3955613577,2724.0,472224.2381056808,1775.5714285714287
4293.0,5986.0,5986.0,310830.10698141635,1065.0,361094.9201218921,1566.6666666666667
1023.0,1062.0,1062.0,105200.6774049217,7153.0,137678.8604796477,5471.375
767.0,796.0,796.0,105200.6774049217,7153.0,137678.8604796477,5471.375
1278.0,1327.0,1327.0,105200.6774049217,7153.0,137678.8604796477,5471.375
1023.0,1062.0,1062.0,657765.9010238908,2472.0,577048.8615566454,3892.1
